Note	Hz
C -	8.1760
C# -	8.6620
D -	9.1770
D# -	9.7230
E -	10.3010
F -	10.9130
F# -	11.5620
G -	12.2500
G# -	12.9780
A -	13.7500
A# -	14.5680
B -	15.4340
C 0	16.3520
C# 0	17.3240
D 0	18.3540
D# 0	19.4450
E 0	20.6010
F 0	21.8260
F# 0	23.1240
G 0	24.4990
G# 0	25.9560
A 0	27.5000
A# 0	29.1350
B 0	30.8670
C 1	32.7030
C# 1	34.6480
D 1	36.7080
D# 1	38.8900
E 1	41.2030
F 1	43.6530
F# 1	46.2490
G 1	48.9990
G# 1	51.9130
A 1	55.0000
A# 1	58.2700
B 1	61.7350
C 2	65.4060
C# 2	69.2950
D 2	73.4160
D# 2	77.7810
E 2	82.4060
F 2	87.3070
F# 2	92.4990
G 2	97.9980
G# 2	103.8200
A 2	110.0000
A# 2	116.5400
B 2	123.4700
C 3	130.8100
C# 3	138.5900
D 3	146.8300
D# 3	155.5600
E 3	164.8100
F 3	174.6100
F# 3	184.9900
G 3	195.9900
G# 3	207.6500
A 3	220.0000
A# 3	233.0800
B 3	246.9400
C 4	261.6300
C# 4	277.1800
D 4	293.6600
D# 4	311.1300
E 4	329.6300
F 4	349.2300
F# 4	369.9900
G 4	391.9900
G# 4	415.3100
A 4	440.0000
A# 4	466.1600
B 4	493.8800
C 5	523.2500
C# 5	554.3700
D 5	587.3300
D# 5	622.2500
E 5	659.2600
F 5	698.4600
F# 5	739.9900
G 5	783.9900
G# 5	830.6100
A 5	880.0000
A# 5	932.3200
B 5	987.7700
C 6	1046.5000
C# 6	1108.7000
D 6	1174.7000
D# 6	1244.5000
E 6	1318.5000
F 6	1396.9000
F# 6	1480.0000
G 6	1568.0000
G# 6	1661.2000
A 6	1760.0000
A# 6	1864.7000
B 6	1975.5000
C 7	2093.0000
C# 7	2217.5000
D 7	2349.3000
D# 7	2489.0000
E 7	2637.0000
F 7	2793.8000
F# 7	2960.0000
G 7	3136.0000
G# 7	3322.4000
A 7	3520.0000
A# 7	3729.3000
B 7	3951.1000
C 8	4186.0000
C# 8	4434.9000
D 8	4698.6000
D# 8	4978.0000
E 8	5274.0000
F 8	5587.7000
F# 8	5919.9000
G 8	6271.9000
G# 8	6644.9000
A 8	7040.0000
A# 8	7458.6000
B 8	7902.1000
C 9	8372.0000
C# 9	8869.8000
D 9	9397.3000
D# 9	9956.1000
E 9	10548.1000
F 9	11175.3000
F# 9	11839.8000
G 9	12543.9000
